Date,Open,High,Low,Close,Adj Close,Volume
2023-06-20,38.000000,39.480000,37.564999,38.430000,38.430000,1602700
2023-06-21,38.430000,39.200001,37.900002,38.340000,38.340000,738600
2023-06-22,38.000000,40.139999,37.590000,39.160000,39.160000,2365600
2023-06-23,39.000000,40.810001,38.700001,40.150002,40.150002,1117200
2023-06-26,40.650002,43.230000,40.250000,42.590000,42.590000,1645000
2023-06-27,42.869999,46.139999,42.612000,45.549999,45.549999,1801000
2023-06-28,45.549999,45.549999,41.230000,42.209999,42.209999,1984600
2023-06-29,42.689999,44.200001,42.629002,43.529999,43.529999,943900
