AAPL_High,GEHC_High,CAVA_High,COIN_High,TMUS_High,AAPL_Low,GEHC_Low,CAVA_Low,COIN_Low,TMUS_Low,AAPL_Open,GEHC_Open,CAVA_Open,COIN_Open,TMUS_Open,AAPL_Close,GEHC_Close,CAVA_Close,COIN_Close,TMUS_Close
133.38570980755097,,,,129.35000610351562,129.00125113212889,,,,125.20999908447266,131.77971667383878,,,,126.29000091552734,132.16395568847656,,,,128.4199981689453
134.30199666992038,,,,132.41000366210938,132.62702738930003,,,,128.07000732421875,133.73053892376814,,,,128.6300048828125,133.00143432617188,,,,131.88999938964844
133.7699783046706,,,,132.64999389648438,131.64176318285485,,,,128.75,133.7601005266309,,,,131.85000610351562,131.96688842773438,,,,129.3699951171875
135.37595140350078,,,,130.85000610351562,132.6073031405902,,,,129.3699951171875,134.29211913619324,,,,130.30999755859375,135.36607360839844,,,,130.60000610351562
135.59795375863686,,,,129.58999633789062,134.05864012428705,,,,124.55000305175781,135.52888971426148,,,,129.02000427246094,134.9467010498047,,,,125.27999877929688
135.14406662841063,,,,126.26000213623047,133.131106368461,,,,122.54000091552734,134.2263895831904,,,,126.19999694824219,135.09474182128906,,,,126.0999984741211
136.05185038220154,,,,125.98999786376953,134.04878264932347,,,,124.05000305175781,134.8085777726371,,,,125.91999816894531,134.20664978027344,,,,124.44999694824219
135.1736709592589,,,,125.66000366210938,132.6180000248,,,,124.31999969482422,134.67042335373893,,,,125.11000061035156,133.5948944091797,,,,124.48999786376953
134.58163692896315,,,,125.44999694824219,131.9963797019311,,,,123.45999908447266,134.09811295598706,,,,125.43000030517578,133.33831787109375,,,,124.4000015258789
133.7330317394533,,,,124.05000305175781,131.91743157069428,,,,122.68000030517578,132.56868436703468,,,,123.80999755859375,133.5751190185547,,,,123.68000030517578
134.2066592380274,,,,123.37999725341797,131.02936672342264,,,,121.37999725341797,133.69354915516502,,,,122.9800033569336,131.424072265625,,,,122.0
130.46690154540323,,,,122.94999694824219,127.75337878375375,,,,120.83000183105469,129.5097768384544,,,,121.88999938964844,129.1051788330078,,,,121.30000305175781
128.27635981848502,,,,123.23999786376953,125.72068116563041,,,,119.5999984741211,127.48695622429504,,,,120.8499984741211,127.99019622802734,,,,123.04000091552734
128.97692995962296,,,,123.72000122070312,127.09226606356998,,,,119.4000015258789,128.51317576138925,,,,123.0999984741211,128.14805603027344,,,,120.0999984741211
128.00005424697514,,,,119.8499984741211,123.93469349295732,,,,117.4000015258789,126.31273587561944,,,,119.1500015258789,124.32937622070312,,,,117.91000366210938
125.02995917171013,,,,119.6500015258789,116.82027382983732,,,,115.88999938964844,122.11908354966197,,,,117.87999725341797,124.19123840332031,,,,119.22000122070312
123.89521828132222,,,,119.51000213623047,120.60936848349232,,,,116.7699966430664,123.28342836814986,,,,117.72000122070312,123.68799591064453,,,,119.37999725341797
124.78328620229131,,,,125.33999633789062,118.94177274028424,,,,119.73999786376953,123.02688027976036,,,,124.48999786376953,119.38580322265625,,,,120.88999938964844
123.1946184311569,,,,121.66000366210938,119.59301209756133,,,,118.87999725341797,120.96459697921826,,,,119.75,119.65223693847656,,,,119.97000122070312
126.23379287497458,,,,123.93000030517578,121.16193674566756,,,,120.2699966430664,122.10921465655694,,,,120.30999755859375,126.09564208984375,,,,123.56999969482422
127.01331847579728,,,,124.55999755859375,123.35250219251138,,,,122.41999816894531,126.70743896690662,,,,123.9000015258789,123.46105194091797,,,,122.44999694824219
124.04321864428834,,,,121.94000244140625,120.2245356200113,,,,118.62000274658203,123.15515017823282,,,,121.44000244140625,120.44161987304688,,,,118.83999633789062
121.96120146311623,,,,121.5199966430664,117.04722734620668,,,,117.41000366210938,120.13573188872961,,,,119.19000244140625,118.53721618652344,,,,118.61000061035156
120.32322162777149,,,,125.3499984741211,116.0111451957369,,,,118.54000091552734,119.37593579699417,,,,120.0199966430664,119.81010437011719,,,,124.68000030517578
119.39566212928821,,,,128.4600067138672,114.66917941075431,,,,123.8499984741211,119.32659055976436,,,,124.08999633789062,114.81719970703125,,,,127.05999755859375
120.44162192810953,,,,129.83999633789062,117.21498917608452,,,,125.45999908447266,117.45178245964311,,,,129.02000427246094,119.4844741821289,,,,126.30999755859375
120.5501561530984,,,,129.1199951171875,117.86622680185732,,,,126.05999755859375,120.07654012592432,,,,128.42999267578125,118.38920593261719,,,,127.41000366210938
121.57636763490501,,,,130.1999969482422,119.65222553906831,,,,123.87999725341797,120.91525291769312,,,,127.86000061035156,120.34294128417969,,,,125.98999786376953
119.56342086584478,,,,127.66999816894531,117.58007661569644,,,,124.68000030517578,118.80362591880238,,,,126.56999969482422,119.42527770996094,,,,127.12000274658203
122.35590070821875,,,,128.57000732421875,118.82336563905933,,,,124.08000183105469,119.80024478278654,,,,128.32000732421875,122.34602355957031,,,,125.62999725341797
125.53319933406765,,,,128.80999755859375,123.06636940795762,,,,124.83999633789062,124.03335633865659,,,,125.80000305175781,123.90508270263672,,,,127.77999877929688
124.191233388499,,,,128.02000427246094,120.7179155211027,,,,125.5199966430664,122.4052496081089,,,,126.33000183105469,123.10581970214844,,,,127.30000305175781
121.54677316405713,,,,126.54000091552734,118.7246776868929,,,,124.81999969482422,121.25074003447223,,,,125.37999725341797,118.93191528320312,,,,124.91000366210938
119.81998043189424,,,,125.70999908447266,118.09317577676175,,,,122.95999908447266,118.31026764810568,,,,124.7300033569336,118.39907836914062,,,,124.19000244140625
122.22762923884231,,,,127.0999984741211,118.6654856411143,,,,124.63999938964844,118.73455721631382,,,,124.66000366210938,121.75399780273438,,,,126.11000061035156
