Date,Open,High,Low,Close,Adj Close,Volume
2021-01-04,70.680000,71.949997,68.290001,69.980003,69.980003,3708600
2021-01-05,69.730003,73.589996,69.650002,73.089996,73.089996,3738200
2021-01-06,77.669998,86.000000,77.589996,85.169998,85.169998,13520300
2021-01-07,89.220001,93.879997,89.040001,90.919998,90.919998,9412200
2021-01-08,92.720001,96.724998,90.529999,96.500000,96.500000,7496600
2021-01-11,91.550003,98.529999,89.550003,95.620003,95.620003,6230400
2021-01-12,98.000000,100.930000,90.839996,93.440002,93.440002,5306500
2021-01-13,93.570000,94.000000,89.620003,90.629997,90.629997,3835700
2021-01-14,90.449997,92.849998,88.400002,88.919998,88.919998,5306700
2021-01-15,87.139999,89.290001,83.599998,84.250000,84.250000,7043300
2021-01-19,87.000000,87.800003,84.250000,85.620003,85.620003,4903200
2021-01-20,84.570000,85.419998,80.879997,81.900002,81.900002,7067200
2021-01-21,83.379997,89.510002,79.410004,87.410004,87.410004,9166600
2021-01-22,85.010002,87.110001,83.129997,86.389999,86.389999,4499100
2021-01-25,85.004997,87.559998,77.809998,78.610001,78.610001,7103000
2021-01-26,80.099998,81.730003,75.360001,75.709999,75.709999,5607100
2021-01-27,73.250000,73.800003,69.080002,69.820000,69.820000,6900700
2021-01-28,72.089996,72.930000,69.500000,71.839996,71.839996,6732000
2021-01-29,72.500000,74.410004,68.160004,69.269997,69.269997,4306100
2021-02-01,70.519997,71.748001,68.199997,69.879997,69.879997,4459000
2021-02-02,71.625000,73.250000,70.220001,71.220001,71.220001,4588800
2021-02-03,72.500000,75.839996,70.760002,74.120003,74.120003,6470800
2021-02-04,75.330002,78.669998,73.269997,73.900002,73.900002,6361700
2021-02-05,74.400002,76.750000,71.830002,75.080002,75.080002,4231600
2021-02-08,75.910004,78.529999,74.410004,75.400002,75.400002,5063000
2021-02-09,75.320000,78.089996,74.915001,77.570000,77.570000,3034000
2021-02-10,77.800003,79.739998,75.300003,78.080002,78.080002,4403900
2021-02-11,79.250000,82.540001,77.870003,82.199997,82.199997,4963700
2021-02-12,81.500000,83.849998,80.669998,83.680000,83.680000,3005300
2021-02-16,84.269997,84.809998,76.760002,77.220001,77.220001,5520700
2021-02-17,76.504997,77.230003,71.279999,74.199997,74.199997,5880200
2021-02-18,71.845001,73.120003,66.550003,67.089996,67.089996,8814000
